Code Insee;Code Postal;Ville;Nom Ville long;;;;;Cedex
79004;79370;AIGONNAY;AIGONNAY;79;E;01.01.0001;25.10.199325.10.1993;
16005;16140;AIGRE;AIGRE;16;E;01.01.0001;25.10.199325.10.1993;
31003;31280;AIGREFEUILLE;AIGREFEUILLE;31;E;01.01.0001;25.10.199325.10.1993;
17003;17290;AIGREFEUILLE D AUNIS;AIGREFEUILLE D AUNIS;17;E;01.01.0001;25.10.199325.10.1993;
44002;44140;AIGREFEUILLE SUR MAINE;AIGREFEUILLE SUR MAINE;44;E;01.01.0001;25.10.199325.10.1993;
30002;30350;AIGREMONT;AIGREMONT;30;E;01.01.0001;25.10.199325.10.1993;
52002;52400;AIGREMONT;AIGREMONT;52;E;01.01.0001;25.10.199325.10.1993;
78007;78240;AIGREMONT;AIGREMONT;78;E;01.01.0001;25.10.199325.10.1993;
89002;89800;AIGREMONT;AIGREMONT;89;E;01.01.0001;25.10.199325.10.1993;
73001;73610;AIGUEBELETTE LE LAC;AIGUEBELETTE LE LAC;73;E;01.01.0001;25.10.199325.10.1993;
73002;73220;AIGUEBELLE;AIGUEBELLE;73;E;01.01.0001;25.10.199325.10.1993;
73002;73221;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73222;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73223;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73224;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73225;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73226;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73227;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73228;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73002;73229;AIGUEBELLE;AIGUEBELLE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73003;73260;AIGUEBLANCHE;AIGUEBLANCHE;73;E;01.01.0001;25.10.199325.10.1993;
73003;73261;AIGUEBLANCHE;AIGUEBLANCHE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
73003;73262;AIGUEBLANCHE;AIGUEBLANCHE CEDEX;73;E;01.01.0001;28.05.200328.05.2003;C
